English Event Title,English Location,English One-sentence Summary,Spanish event title,Spanish Location,Spanish One-sentence Summary,German event title,German location,German one-sentence summary,Portuguese event title,Portuguese location,Portuguese one sentence summary,Italian event title,Italian location,Italian one sentence summary,Chinese event title,chinese location,chinese one sentence summary,japanese event title,Japanese location,Japanese one sentence summary
Good or Evil Intent,Town Center,The town began to attract new interest from those with both genuine and nefarious motivations,Intención buena o malvada,Centro de la ciudad,La ciudad comenzó a atraer nuevos intereses de aquellos con motivaciones genuinas y infamias.,Gute oder böse Absicht,Stadtzentrum,Die Stadt begann neues Interesse von denen mit echten und lefarigen Motiven anzuziehen,Intenção boa ou má,Centro da Cidade,A cidade começou a atrair novos interesses daqueles com motivações genuínas e nefasantes,Intento buono o cattivo,Centro città,La città ha iniziato ad attirare un nuovo interesse da quelli con motivazioni sia genuine che nefaste,善恶意图,市中心,该镇开始吸引那些具有真正和邪恶动机的人的新兴趣,善または悪の意図,中心街,町は、本物と不自由な動機の両方を持つ人々からの新しい興味を引き付け始めました
Longevity and Clarity,Study Room,Notes from this time period detail potential blueprints for a special room.,Longevidad y claridad,Sala de estudio,Notas a partir de este período de tiempo Detalle los planos potenciales para una habitación especial.,Langlebigkeit und Klarheit,Studierzimmer,Hinweise aus diesem Zeitraumdetailswerte Potenzialpläne für einen speziellen Raum.,Longevidade e clareza,Sala de estudo,Notas a partir deste período de tempo detalhe potencial plantas para uma sala especial.,Longevità e chiarezza,Sala studio,Note da questo periodo di tempo Dettagli i progetti dei potenziali progetti per una stanza speciale.,寿命和清晰度,学习室,从此时间段详细说明一个特殊房间的潜在蓝图。,寿命と明確さ,勉強部屋,この期間からの注意事項特別な客室の潜在的な青写真。
Longevity and Charity,Study Room,Notes from this time period detail potential blueprints for a special room.,Longevidad y caridad,Sala de estudio,Notas a partir de este período de tiempo Detalle los planos potenciales para una habitación especial.,Langlebigkeit und Wohltätigkeit,Studierzimmer,Hinweise aus diesem Zeitraumdetailswerte Potenzialpläne für einen speziellen Raum.,Longevidade e caridade,Sala de estudo,Notas a partir deste período de tempo detalhe potencial plantas para uma sala especial.,Longevità e carità,Sala studio,Note da questo periodo di tempo Dettagli i progetti dei potenziali progetti per una stanza speciale.,寿命和慈善机构,学习室,从此时间段详细说明一个特殊房间的潜在蓝图。,長寿と慈善,勉強部屋,この期間からの注意事項特別な客室の潜在的な青写真。
A Reward for Service,Estate Hall,The Order of St. Hubertus gave the new generation of scientists a permanent structure to aid in their experiments.,Una recompensa por el servicio,Estado inmobiliario,El orden de San Hubertus le dio a la nueva generación de científicos una estructura permanente para ayudar en sus experimentos.,Eine Belohnung für den Service,Immobilienhalle,Die Reihenfolge von St. Hubertus ergab die neue Generation von Wissenschaftlern eine dauerhafte Struktur um in ihren Experimenten zu helfen.,Uma recompensa pelo serviço,Estate Hall,A ordem de São Hubertus deu a nova geração de cientistas uma estrutura permanente para ajudar em seus experimentos.,Una ricompensa per il servizio,Hall Hall.,L'ordine di St. Hubertus ha dato la nuova generazione di scienziati una struttura permanente per aiutare nei loro esperimenti.,服务奖励,庄园,圣休伯斯斯的顺序给了新一代科学家的永久性结构，以帮助他们的实验。,サービスのための報酬,エステートホール,St. Hubertusの順序は、新世代の科学者たちに彼らの実験を助けるために恒久的な構造を与えました。
Forgiveness,Town Hall,A werewolf takes to the podium to preside over a town meeting. ,Perdón,Ayuntamiento,Un hombre lobo lleva al podio para presidir una reunión de la ciudad.,Vergebung,Rathaus,Ein Werwolf nimmt dem Podium um sich über ein Stadtsitz zu präsentieren.,Perdão,Prefeitura,Um lobisomem leva ao pódio para presidir uma reunião da cidade.,Perdono,Municipio,Un lupo mannaro prende sul podio per presiedere a una riunione della città.,饶恕,市政厅,一个狼人拿到领奖台上主持在城镇会议上。,許し,町役場,狼男は町会を統括するために表彰台に連れて行きます。
A Message,Village,A new sense of peace tarnished by the persistence of past injustices.,Un mensaje,Pueblo,Un nuevo sentido de paz empañado por la persistencia de las injusticias pasadas.,Eine Nachricht,Dorf,Ein neues Gefühl des Friedens das durch die Beharrlichkeit vergangener Ungerechtigkeit getrübt wurde.,Uma mensagem,Vila,Um novo senso de paz manchado pela persistência de injustiças passadas.,Un messaggio,Villaggio,Un nuovo senso di pace appannato dalla persistenza delle ingiustizie passate.,一个消息,村庄,过去不公正的持久性玷污了一个新的和平感。,メッセージ,村,過去の不正の持続性によって変わった新しい平和感。
A Reasoned Proposal,Village,The imperfections of the progressive monster reform system.,Una propuesta razonada,Pueblo,Las imperfecciones del sistema progresivo de reforma monstruo.,Ein erteilter Vorschlag,Dorf,Die Unvollkommenheiten des progressiven Monsterreformsystems.,Uma proposta fundamentada,Vila,As imperfeições do sistema de reforma do monstro progressivo.,Una proposta motivata,Villaggio,Le imperfezioni del progressivo sistema di riforma del mostro.,一个合理的提案,村庄,逐步怪物改革制度的缺陷。,推論提案,村,プログレッシブモンスター改革システムの不完全性
Frenzy Decision,Town Hall,Consulting with the order in private.,Decisión de frenesí,Ayuntamiento,Consultando con el pedido en privado.,Raserei-Entscheidung,Rathaus,Beratung mit der Bestellung in Privat.,Decisão frenesi,Prefeitura,Consultoria com a ordem em privada.,Decisione frenesia,Municipio,Consulenza con l'ordine in privato.,疯狂决定,市政厅,私人咨询订单。,狂信の決定,町役場,プライベートで注文してコンサルティング。
The Frenzy,Town Hall,The effects of indulging in latent urges.,El frenesí,Ayuntamiento,Los efectos de disfrutar de los impulsos latentes.,Die Raserei,Rathaus,Die Auswirkungen sich latente Forderungen zu verwöhnen.,O frenesi,Prefeitura,Os efeitos da indulgência em impulsos latentes.,La frenesia.,Municipio,Gli effetti di indulgere in impulsi latenti.,狂热,市政厅,沉迷于潜伏的影响。,狂気の,町役場,潜在的な衝突への衝撃の影響
A Reasoned Response,Town Hall,The recommendation was accepted.,Una respuesta razonada,Ayuntamiento,Se aceptó la recomendación.,Eine begründete Antwort.,Rathaus,Die Empfehlung wurde akzeptiert.,Uma resposta fundamentada,Prefeitura,A recomendação foi aceita.,Una risposta motivata,Municipio,La raccomandazione è stata accettata.,一个合理的反应,市政厅,该建议被接受。,推測された応答,町役場,勧告は受け入れられました。
The Order Revealed,Village,The Order of St. Hubertus manifested in their true and cursed forms.,El orden revelado,Pueblo,El orden de San Hubertus se manifiesta en sus formas verdaderas y malditas.,Die Reihenfolge offenbart,Dorf,Die Reihenfolge von St. Hubertus manifestierte sich in ihren wahren und verfluchten Formen.,A ordem revelada,Vila,A ordem de São Hubertus manifestada em suas formas verdadeiras e amaldiçoadas.,L'ordine rivelato,Villaggio,L'ordine di St. Hubertus si è manifestato nelle loro forme veri e maledette.,订单透露,村庄,圣休伯特鲁斯的顺序表现为他们的真实和诅咒形式。,命令が明らかにされました,村,聖ヒバトゥスの秩序は、彼らの真実かつ呪われた形で現れた。
The Consequences of Disobedience,Town Center,The Order had revealed its true self swiftly taking over the town and demanding alliance in the most vicious of terms.,Las consecuencias de la desobediencia,Centro de la ciudad,El pedido había revelado su verdadero auto rapidamente asumiendo la ciudad y exigiendo alianza en los términos más viciosos.,Die Folgen des Ungehorsams,Stadtzentrum,Die Reihenfolge hatte ihr wahres Selbst übernommen um die Stadt schnell übernommen zu haben und die Bündnis in den bösartigsten Bedingungen zu fordern.,As conseqüências da desobediência,Centro da Cidade,A ordem revelou seu verdadeiro eu rapidamente assumindo a cidade e exigindo aliança nos termos mais viciosos.,Le conseguenze della disobbedienza,Centro città,L'ordine aveva rivelato il suo vero sé rapidamente prendendo in consegna la città e chiedendo l'alleanza nel più vizioso dei termini.,不服从的后果,市中心,该命令揭示了其真正的自我迅速接管城镇，并以最恶毒的术语苛刻。,不従順の結果,中心街,注文は、その本当の自己迅速に町を引き継ぐこと、そして最も悪質な用語で提携を要求していました。
Legacy of the Hunter,Estate West Wing,The cousins were greeted by a strapping young man in a burgundy coat.,Legado del cazador,Estate West Wing,Los primos fueron recibidos por un joven flejado en un abrigo burdeos.,Erbe des Jägers,Estate West Wing.,Die Cousins ​​wurden von einem stravenden jungen Mann in einem Burgundmantel begrüßt.,Legado do caçador,Wing West Estate,Os primos foram recebidos por um jovem de cintas em um casaco de Borgonha.,Legacy del cacciatore,Estate West Wing.,I cugini sono stati accolti da un giovane che combatteva in un cappotto bordeaux.,猎人的遗产,庄园西翼,堂兄弟被勃艮第外套的捆扎年轻男子招呼。,ハンターの遺産,エステートウェストウィング,いとこはブルゴーニュのコートで縛られた若い男によって迎えられました。
Legacy of the Wolf,Estate West Wing,The cousins were greeted by a strapping young man in a gray coat.,Legado del lobo,Estate West Wing,Los primos fueron recibidos por un joven flejado en un abrigo gris.,Erbe des Wolfs,Estate West Wing.,Die Cousins ​​wurden von einem umrappenden jungen Mann in einem grauen Mantel begrüßt.,Legado do lobo,Wing West Estate,Os primos foram recebidos por um jovem de cintas em um casaco cinzento.,Legacy del lupo,Estate West Wing.,I cugini furono accolti da un giovane che stringeva in un cappotto grigio.,狼的遗产,庄园西翼,表兄弟被一名灰色外套的捆扎年轻人迎来了。,オオカミの遺産,エステートウェストウィング,いとこは灰色のコートで縛られた若い男によって迎えられました。
The Monster Without,Stone Room,The Order of St. HubertusLodge held a dark secret in the miasmic recesses beneath the edifice above. When they peered inside they saw the infernal spawning grounds. Slime-covered beasts wallowed within a murky pit sloshing with the putrid stench of rotten meat.,El monstruo sin,Sala de piedra,El orden de San Hubertuslodge sostenía un secreto oscuro en los rebajes miasmicos debajo del edificio de arriba. Cuando miraron dentro vieron los terrenos infernales de desove. Las bestias cubiertas de limo se revolvieron dentro de un foso turbio con el hedor pútrido de carne podrida.,Das Monster ohne,Steinzimmer,Die Reihenfolge von St. HubertusLodge hielt ein dunkles Geheimnis in den miassimischen Ausnehmungen unter dem oben genannten Gebäude. Als sie innen spähten sahen sie die höllischen Laichgründe. Slime-bedeckte Tiere die in einem trüben Grube mit dem putriten Gestank aus faulen Fleisch blühten.,O monstro sem.,Sala de pedra,A ordem de St. Hubertuslodge realizou um segredo escuro nos recessos Miasmic sob o edifício acima. Quando eles olham para dentro eles viram os terrenos de desova infernais. Feras cobertas de lodo chafurdadas dentro de um poço obscuro sloshing com o fedor pútrido de carne podre.,Il mostro senza,Stanza di pietra,L'ordine di St. Hubertuslodge ha tenuto un segreto oscuro nelle rientranze miasmiche sotto l'edificio sopra. Quando si sbirciarono all'interno hanno visto il terreno in infernale. Le bestie coperte di melma hanno sfacciato all'interno di una fossa del pozzo torbido con il putrido fesseno della carne marciata.,没有。没有,石室,圣·韦伯特劳狄克的顺序在上面的大厦下方的Miasmic凹槽中保持着黑暗的秘密。当他们在里面凝视时，他们看到了地狱的产卵场。粘液覆盖的野兽在一个与腐烂的肉的腐烂恶臭的混乱坑里。,モンスターなし,石の部屋,St. Hubertuslodgeの順序は、上記の縁の下にある巨大な凹部に暗い秘密を保持した。彼らが内側に覗いたとき、彼らはインフルナルの産卵場を見ました。腐った肉の腐った茎と濁ったピットスロッシングの中で、スライムカバーされた獣。
The Form of the Wolf,Stone Room,Do any player have the Lycanthropic Strength Masterwork Experiment?,La forma del lobo,Sala de piedra,¿Algún jugador tiene el experimento de Masterwork de Fuerza Lycanthropic?,Die Form des Wolfes,Steinzimmer,Hat jeder Spieler das lycanthropische Kraft-Masterwork-Experiment?,A forma do lobo,Sala de pedra,Qualquer jogador ter o experimento de força de força lycantrópica?,La forma del lupo,Stanza di pietra,Qualche giocatore ha l'esperimento del masterwork della resistenza licantropica?,狼的形式,石室,任何玩家都有狼人强度的大师实验吗？,オオカミの形,石の部屋,プレイヤーはリカンシーピ​​ック強度のマスターワーク実験をしていますか？
Strength Can Be Mine,Stone Room,Could the catalyst of this truly powerful,La fuerza puede ser mía,Sala de piedra,Podía el catalizador de este verdaderamente poderoso.,Kraft kann mir sein,Steinzimmer,Könnte der Katalysator dieses wirklich mächtigen,Força pode ser minha,Sala de pedra,Poderia o catalisador deste verdadeiramente poderoso,La forza può essere mia,Stanza di pietra,Potrebbe il catalizzatore di questo veramente potente,力量可以是我的,石室,这种真正强大的催化剂可以,強さは私のものになることができます,石の部屋,この本当に強力な触媒ができます
The Work is Complete,Stone Room,The gathering of clawed monstrosities celebrated with keening wails as the Masterwork was completed in all of its glory. Some scribbled away at notes copying the formulas and schematics as best they could.,El trabajo está completo.,Sala de piedra,La reunión de monstruosidades garras que se celebran con el agudo lamento ya que la obra maestra se completó en toda su gloria. Algunos garabatearon en las notas que copian las fórmulas y los esquemas lo mejor que pudieron.,Die Arbeit ist abgeschlossen,Steinzimmer,Die Versammlung von krallenförmigen Monstrositäten die mit Keening Whirlpositionen gefeiert wurden da der Masterarbeit in ihrer gesamten Ruhm abgeschlossen war. Einige kritzelten sich bei Noten die die Formeln und Schaltpläne als am besten kopieren wie sie konnten.,O trabalho está completo,Sala de pedra,A coleta de monstruosidades agarradas comemoradas com lenços aguçados como o principal trabalho foi concluída em toda a sua glória. Alguns rabiscados em notas copiando as fórmulas e esquemas do melhor que puderam.,Il lavoro è completo,Stanza di pietra,Il raduno di mostruosità artigianali celebrate con lamentosi wills mentre il masterwork è stato completato in tutta la sua gloria. Alcuni scarabocchiati alle note che copiano le formule e gli schemi come meglio potevano.,这项工作是完整的,石室,随着MasterWork的所有荣耀都完成了克拉的蒙修土庆祝的屠宰纪念品。一些潦草地潦草地潦草地在纸张复制公式和原理图，他们可以。,仕事は完了です,石の部屋,マスターワークがその栄光の全てで完了したので、捕獲された一弾の集まりが勝利したように祝われました。いくつかの声は、式とスキーマを自分のものとしてコピーするノーツで宣言しました。
A Call for Assistance,Estate Entrance,The gathering of clawed monstrosities celebrated with keening wails as the Masterwork was completed in all of its glory. Some scribbled away at notes copying the formulas and schematics as best they could.,Un llamado a la asistencia,Entrada de bienes raíces,La reunión de monstruosidades garras que se celebran con el agudo lamento ya que la obra maestra se completó en toda su gloria. Algunos garabatearon en las notas que copian las fórmulas y los esquemas lo mejor que pudieron.,Ein Anruf um Hilfe,Immobilieneingang.,Die Versammlung von krallenförmigen Monstrositäten die mit Keening Whirlpositionen gefeiert wurden da der Masterarbeit in ihrer gesamten Ruhm abgeschlossen war. Einige kritzelten sich bei Noten die die Formeln und Schaltpläne als am besten kopieren wie sie konnten.,Uma chamada para assistência,Entrada imobiliária.,A coleta de monstruosidades agarradas comemoradas com lenços aguçados como o principal trabalho foi concluída em toda a sua glória. Alguns rabiscados em notas copiando as fórmulas e esquemas do melhor que puderam.,Una chiamata per assistenza,Ingresso della proprietà,Il raduno di mostruosità artigianali celebrate con lamentosi wills mentre il masterwork è stato completato in tutta la sua gloria. Alcuni scarabocchiati alle note che copiano le formule e gli schemi come meglio potevano.,寻求帮助,庄园入口,随着MasterWork的所有荣耀都完成了克拉的蒙修土庆祝的屠宰纪念品。一些潦草地潦草地潦草地在纸张复制公式和原理图，他们可以。,援助のための電話,不動産入り口,マスターワークがその栄光の全てで完了したので、捕獲された一弾の集まりが勝利したように祝われました。いくつかの声は、式とスキーマを自分のものとしてコピーするノーツで宣言しました。
Reckoning,Estate Entrance,The messenger from the Order,Estimación,Entrada de bienes raíces,El mensajero de la orden.,Rechnung,Immobilieneingang.,Der Messenger aus der Bestellung,Acerto de contas,Entrada imobiliária.,O mensageiro da ordem,Reckoning.,Ingresso della proprietà,Il messaggero dall'ordine,估计,庄园入口,来自订单的信使,算切して,不動産入り口,オーダーからのメッセンジャー
An Opportunity,Dining Room,Players will vote on whether to unleash this concoction to tame the demonic beasts of the land. Players will secretly choose a side to place face up in their palm. Then they will close their fist and extend it to the center of the table. Tally all the votes and the side with the most votes wins.,Una oportunidad,Comedor,Los jugadores votarán sobre si desencadenar esta mezcla para domesticar a las bestias demoníacas de la tierra. Los jugadores elegirán en secreto un lado para colocar boca arriba en su palma. Luego cerrarán su puño y lo extenderán al centro de la mesa. Tally todos los votos y el lado con los votos más victorios.,Eine Gelegenheit,Esszimmer,Die Spieler werden stimmen ob diese Pförtigung entfesseln sollen um die dämonischen Tiere des Landes zu zähmen. Die Spieler wählen heimlich eine Seite um sich in ihrer Handfläche aufzulegen. Dann schließen sie ihre Faust und verlängern ihn in die Mitte des Tisches. Alle Abstimmungen und die Seite mit den meisten Abstimmungen gewinnt.,Uma oportunidade,Sala de jantar,Os jogadores votarão se desencadear essa mistura para mansar as bestas demoníacas da terra. Os jogadores escolherão secretamente um lado para colocarem a mão na palma da mão. Então eles vão fechar seu punho e estenderá-lo para o centro da mesa. Tally todos os votos e o lado com a maioria dos votos vencem.,Un'opportunità,Sala da pranzo,I giocatori voteranno se scateneranno questo intruglio per domare le bestie demoniane della terra. I giocatori sceglieranno segretamente un lato per posizionare a faccia in su nel loro palmo. Quindi chiuderanno il loro pugno e lo estenderanno al centro del tavolo. Tally tutti i voti e il lato con il maggior numero di voti vince.,一个机会,饭厅,玩家将投票是否释放这种混合物驯服土地的恶魔野兽。球员将秘密选择一方，以便在他们的手掌上放置。然后他们将闭上拳头并将其延伸到桌子的中心。整理所有选票和最多的投票胜利。,チャンス,ダイニングルーム,選手は、このコンクルションを解き放つかどうか、土地の悪魔の獣を飼うために投票します。プレイヤーは密かに自分の手のひらの中に向きを置く側を選ぶでしょう。それから彼らは彼らの拳を閉じてテーブルの中央に伸ばします。すべての投票と最も投票が最も票が勝った。
Remember the Cure,Dining Room,All players with a disease card must flip their Vote token to Nay. Tally all votes once again.,Recuerda la cura,Comedor,Todos los jugadores con una tarjeta de enfermedad deben voltear su token de voto a Nay. Tally todos los votos una vez más.,Erinnere dich an die Heilung,Esszimmer,Alle Spieler mit einer Krankheitskarte müssen ihr Abstimmungs-Token auf NAY klappen. Alle Abstimmungen noch einmal.,Lembre-se da cura,Sala de jantar,Todos os jogadores com um cartão de doença devem virar o token de votos para Nay. Tally todos os votos mais uma vez.,Ricorda la cura,Sala da pranzo,Tutti i giocatori con una carta della malattia devono lanciare il loro voto token a No. Tally tutti voti ancora una volta.,记住治愈,饭厅,所有带有疾病卡的玩家都必须将投票令牌翻转到Nay。整理所有选票再次。,治療を忘れないでください,ダイニングルーム,病気カードを持つすべてのプレーヤーは、投票トークンをNAYにフリップしなければなりません。すべての議会はもう一度投票します。
A Vote for Change,Village,A group of cousins devise a serum powerful enough to reverse the evil blight upon the land.,Una votación por el cambio,Pueblo,Un grupo de primos diseñan un suero lo suficientemente poderoso como para revertir el malvado tizón sobre la tierra.,Eine Abstimmung für den Wandel,Dorf,Eine Gruppe von Cousins ​​erzeugt ein mächtiges Serum das stark genug ist, um den bösen Bilde auf dem Land umzukehren.,Um voto para mudança,Vila,Um grupo de primos concebe um soro poderoso o suficiente para reverter a malfeita da terra.,Un voto per il cambiamento,Villaggio,Un gruppo di cugini escisa un siero abbastanza potente da invertire il maligiano sulla terra.,投票改变,村庄,一群表兄弟设计了一个足够强大的血清，以扭转邪恶的困境。,変化のための投票,村,いとこのグループは、土地の邪悪な枯れを逆にするのに十分な強力な血清を考案しました。
Valuable Keepsake,Market,A crystal vial of holy water was sold by a cousin for a significant sum of money.,Recuerdo valioso,Mercado,Un frasco de cristal de agua sagrada fue vendida por un primo por una suma significativa de dinero.,Wertvoller Andenken,Markt,Eine Kristallflasche aus heiligem Wasser wurde von einem Cousin für eine bedeutende Geldsumme verkauft.,Lembrança valiosa,Mercado,Um frasco de cristal da água sagrada foi vendido por uma prima por uma quantia significativa de dinheiro.,Prezioso keepsake.,Mercato,Una fiala di cristallo di acqua santa è stata venduta da un cugino per una somma significativa di denaro.,宝贵的纪念品,市场,一个堂兄销售了一个堂兄的水晶小瓶，以获得很大的金钱。,貴重なケープェーキ,市場,聖なる水の結晶バイアルは、かなりの金額のためにいとこによって販売されました。
An Award For Research,Estate,The monsters felt guilty about not honoring their word even if it stretched their sense of ethical duty to do so. ,Un premio a la investigación,Inmuebles,Los monstruos se sintieron culpables por no honrar su palabra incluso si estiraba su sentido del deber ético de hacerlo.,Eine Auszeichnung für Forschung,Immobilien,Die Monster fühlten sich schuldig ihr Wort nicht zu ehren auch wenn er ihr Gefühl der ethischen Pflicht dabei streckte.,Um prêmio de pesquisa,Estado,Os monstros se sentiram culpados por não honrar sua palavra mesmo que esticasse sua sensação de dever ético para fazê-lo.,Un premio per la ricerca,Tenuta,I mostri si sentono colpevoli di non onorare la loro parola anche se si estendeva il loro senso del dovere etico di farlo.,研究奖,财产,怪物觉得难以尊重他们的话，即使它延伸了他们的道德义务感。,研究のための賞,エステート,モンスターは、それが倫理的義務の感覚を伸ばしたとしても彼らの言葉を尊重しないことを罪に感じました。
A Clear Choice,Dirt Path,Charity III returned to their home with determination in their chest and retrieved the crystal,Una clara opción,Camino de tierra,Caridad III regresó a su hogar con determinación en su pecho y recuperó el cristal.,Eine klare Wahl,Schmutzpfad,Charity III kehrte mit der Entschlossenheit in ihrer Brust nach Hause zurück und holte den Kristall,Uma escolha clara,Caminho de sujeira,Charity III retornou à sua casa com determinação em seu peito e recuperou o cristal,Una scelta chiara,Percorso di sporco,Carità III è tornata a casa sua con determinazione nel petto e recuperata il cristallo,清晰的选择,污垢路径,慈善机构III在他们的胸部确定并检索水晶,明確な選択,汚れた道,チャリティーIIIは彼らの胸の間の決意を持って家に戻ってクリスタルを取り戻しました
Selflessness for Change,Stream,After less than a day the azalea blossoms that once dotted the landscape were in full bloom and the radiant sunlight bathed the valley in a honey glow. ,Desinteresidad para el cambio,Arroyo,Después de menos de un día la azalea florece que una vez salpicó el paisaje estaba en plena floración y la luz solar radiante bañaba el valle en un brillo de miel.,Selbstlosigkeit für den Wandel.,Strom,Nach weniger als einem Tag blüht die Azaleen-Blüten die einst die Landschaft totierte in voller Blüte und das strahlende Sonnenlicht badete das Tal in einem Honigglühler.,Abnegação por mudança,Stream,Depois de menos de um dia as flores azáleas que uma vez pontilhavam a paisagem estavam em plena floração e a luz solar radiante banhou o vale em um brilho de mel.,Altruismo per il cambiamento,Flusso,Dopo meno di un giorno i fiori di azalea che una volta punteggiavano il paesaggio erano in piena fioritura e la luce solare radiante immerse la valle in un bagliore del miele.,变革的无私,溪流,经过少于一天的杜鹃花花，一旦点缀景观，盛开，辐射阳光在蜂蜜发光中沐浴着山谷。,変化のための無私無欲,ストリーム,一日以内に、かつて風景が完全に咲き、放射輝きが蜂蜜の輝きで谷を浴びた後の居眠りの花が咲きました。
The Unconscionable Choice,Market,Turning the cure into a financial windfall.,La opción inconscible,Mercado,Convertir la cura en una ganancia financiera financiera.,Die unbeaufsichtigte Wahl,Markt,Das Heilmittel in einen finanziellen Wind fallen.,A escolha inconsciente,Mercado,Transformando a cura em um lucro financeiro.,La scelta inconcepibile,Mercato,Trasformando la cura in un guadagno finanziario.,不合情理的选择,市场,将治疗方法转变为金融意外收获。,無意味な選択,市場,硬化を財政的な風に回す。
Once More The Accursed Contribution,Veranda,The messenger appears at nightfall.,Una vez más la contribución maldita.,Veranda,El mensajero aparece al anochecer.,Noch einmal der verfolgte Beitrag,Veranda,Der Messenger erscheint bei der Dunkelheit.,Mais uma vez a contribuição amaldiçoada,Varanda,O mensageiro aparece ao anoitecer.,Ancora una volta il contributo maledetto,Veranda,Il messaggero appare alla notte.,再一次受到的贡献,阳台,信使出现在夜幕降临。,もう一度述べた貢献,ベランダ,メッセンジャーは夜間に出演します。
Deplorable Equity,Estate,For the first time in decades the townsfolk expressed a sense of community a singular and modern identity. ,Equidad deplorable,Inmuebles,Por primera vez en décadas los Townsfolk expresaron un sentido de la comunidad una identidad singular y moderna.,Bedauerliches Eigenkapital.,Immobilien,Zum ersten Mal seit Jahrzehnten äußerte die Townsfolk ein Sinn für eine einzigartige und moderne Identität.,Equidade deplorável,Estado,Pela primeira vez em décadas o Townsfolk expressou um senso de comunidade uma identidade singular e moderna.,Equità deplorevole,Tenuta,Per la prima volta nei decenni il centro di città ha espresso un senso di comunità un'identità singolare e moderna.,令人遗憾的股权,财产,第一次十年来，Townsfolk表示社区意识是一个单数和现代的身份。,著しい公平性,エステート,10年間で初めての町民はコミュニティの感覚を表現し、現代のアイデンティティを表明しました。
Moon Sickness,Garden,Lucid memories of stalking prey in the woods haunted the cousins dreams yet filled them with a terrible energy.,Enfermedad de la luna,Jardín,Los recuerdos lúcidos de la presa acechadora en los bosques emitieron los soñadores de los primos pero los llenaron con una energía terrible.,Mondkrankheit,Garten,Die luziden Erinnerungen an die Stalking-Beute in den Wäldern veranstalteten die Cousins ​​Träume füllte sie noch mit einer schrecklichen Energie.,Doença da lua,Jardim,Memórias lúcidas de presa de perseguição nas madeiras assombravam os sonhos dos primos os enchiam com uma energia terrível.,Malattia della luna,Giardino,I ricordi lucidi della preda di stalking nei boschi ha perseguitato i cugini i sogni ancora riempiti con un'energia terribile.,月亮疾病,花园,在树林里偷偷摸摸的猎物的清醒回忆困扰着表兄弟的梦想却充满了可怕的能量。,月の病気,庭園,森の中のスターキング獲物の明晰思い出は、いとこの夢を夢見ていますまだそれらをひどいエネルギーで満たしていました。
In Preparation for the Hunt,Valley,The cousins were chosen to take part in the hunt.,En preparación para la caza.,Valle,Los primos fueron elegidos para participar en la caza.,In Vorbereitung auf die Jagd,Senke,Die Cousins ​​wurden ausgewählt um an der Jagd teilzunehmen.,Em preparação para a caça,Vale,Os primos foram escolhidos para participar da caça.,In preparazione per la caccia,Valle,I cugini sono stati scelti per prendere parte alla caccia.,准备狩猎,谷,选择表兄弟参加狩猎。,狩りに備えて,谷,いとこは狩猟に参加するように選択されました。
The First Night of the Hunt,Crossing,It was time for the first night of the hunt.,Primera noche de la caza,Cruce,Fue hora de la primera noche de la caza.,Erste Nacht der Jagd,Kreuzung,Es war Zeit für die erste Nacht der Jagd.,Primeira noite da caçada,Cruzando,Era hora da primeira noite da caçada.,Prima notte della caccia,Attraversamento,Era tempo per la prima notte della caccia.,第一晚的狩猎,横渡,这是第一个狩猎的时候了。,狩りの最初の夜,交差点,狩りの最初の夜の時間でした。
The Second Night of the Hunt,Crossing,It was time for the second night of the hunt.,Segunda noche de la caza.,Cruce,Fue hora de la segunda noche de la caza.,Zweite Nacht der Jagd,Kreuzung,Es war Zeit für die zweite Nacht der Jagd.,Segunda noite da caçada,Cruzando,Era hora da segunda noite da caçada.,Seconda notte della caccia,Attraversamento,Era tempo per la seconda notte della caccia.,狩猎的第二天晚上,横渡,这是狩猎的第二天晚上的时候了。,狩りの2泊,交差点,狩りの2泊目の時間でした。
Overrun By Monsters,Village,The hunt was a failure.,Invadido por monstruos,Pueblo,La caza fue un fracaso.,Überrundung von Monstern.,Dorf,Die Jagd war ein Versagen.,Invadido por monstros,Vila,A caça foi uma falha.,Invaso da mostri,Villaggio,La caccia era un fallimento.,怪物过度运行,村庄,狩猎是一个失败。,モンスターによるオーバーラン,村,狩りは失敗でした。
A Wondrous Fate,Fraternity Lodge,The hunt was a success.,Un destino maravilloso,Lodge Fraternity,La caza fue un éxito.,Ein wundersames Schicksal,Fraternity Lodge.,Die Jagd war ein Erfolg.,Um destino maravilhoso,Fraternity Lodge.,A caça foi um sucesso.,Un destino meraviglioso,Fraternity Lodge.,La caccia è stata un successo.,一个奇妙的命运,兄弟会小屋,狩猎是成功的。,不思議な運命,フォレタニティロッジ,狩りは成功しました。
